date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
2022-09-07,7730.0,7645.0,103300.0
2022-09-06,7707.0,7651.0,106000.0
2022-09-05,7652.5,7606.0,108450.0
2022-09-02,7587.0,7517.0,110550.0
2022-09-01,7702.0,7665.0,114325.0
2022-08-31,7721.0,7701.0,118500.0
2022-08-30,7910.5,7876.0,121000.0
2022-08-26,8315.0,8280.5,120525.0
2022-08-25,8155.0,8120.0,122125.0
2022-08-24,8031.5,8022.0,123275.0
2022-08-23,8100.5,8051.0,122375.0
2022-08-22,8041.0,7991.0,122575.0
2022-08-19,8051.0,8037.0,123825.0
2022-08-18,8020.0,8016.0,126475.0
2022-08-17,7955.0,7962.0,128875.0
2022-08-16,7992.0,8005.0,129475.0
2022-08-15,7865.5,7870.5,130550.0
2022-08-12,8065.0,8072.0,131850.0
2022-08-11,8140.0,8150.0,131575.0
2022-08-10,7976.0,7984.5,126525.0
2022-08-09,7971.5,7977.0,126975.0
2022-08-08,7835.0,7855.0,127850.0
2022-08-05,7830.5,7840.0,128600.0
2022-08-04,7642.0,7653.0,129575.0
2022-08-03,7774.0,7783.5,130250.0
2022-08-02,7819.0,7805.0,130975.0
2022-08-01,7930.5,7940.5,131275.0
2022-07-29,7800.5,7792.0,130575.0
2022-07-28,7712.0,7720.0,131700.0
2022-07-27,7552.0,7570.0,132500.0
2022-07-26,7591.5,7620.0,132025.0
2022-07-25,7448.0,7467.0,133175.0
2022-07-22,7372.0,7393.0,133925.0
2022-07-21,7231.5,7255.0,133550.0
2022-07-20,7371.0,7406.0,135575.0
2022-07-19,7281.5,7305.5,136200.0
2022-07-18,7320.0,7351.0,130275.0
2022-07-15,7000.0,7005.0,130425.0
2022-07-14,7216.0,7237.0,129250.0
2022-07-13,7267.0,7275.5,130975.0
2022-07-12,7370.5,7403.0,131775.0
2022-07-11,7623.0,7645.0,133100.0
2022-07-08,7790.0,7807.0,133025.0
2022-07-07,7835.0,7866.0,135350.0
2022-07-06,7525.5,7540.0,135775.0
2022-07-05,7807.0,7817.0,136400.0
2022-07-04,8036.0,8045.0,136950.0
2022-07-01,7975.5,7982.0,126850.0
2022-06-30,8245.0,8245.0,124275.0
2022-06-29,8446.0,8450.0,123825.0
2022-06-28,8502.0,8505.0,124625.0
2022-06-27,8353.0,8357.0,124850.0
2022-06-24,8280.5,8292.0,113025.0
2022-06-23,8578.0,8600.0,113475.0
2022-06-22,8729.0,8730.0,114175.0
2022-06-21,9000.0,9005.0,115150.0
2022-06-20,8875.0,8865.0,117025.0
2022-06-17,9101.0,9100.0,118025.0
2022-06-16,9105.0,9105.0,121000.0
2022-06-15,9257.0,9262.0,121525.0
2022-06-14,9263.0,9275.0,119875.0
2022-06-13,9290.0,9284.0,117975.0
2022-06-10,9537.0,9540.5,117750.0
2022-06-09,9630.0,9624.0,118175.0
2022-06-08,9692.0,9692.0,116900.0
2022-06-07,9612.0,9612.0,120775.0
2022-06-06,9712.0,9720.0,140975.0
2022-06-01,9455.0,9455.0,145950.0
2022-05-31,9500.5,9510.0,149200.0
2022-05-30,9520.5,9531.0,154650.0
2022-05-27,9383.0,9395.0,156175.0
