,date,close,volume
606,2021-03-19,4.113,73.523
607,2021-03-18,4.108,65.889
608,2021-03-17,4.119,57.991
609,2021-03-16,4.0715,71.189
610,2021-03-15,4.1405,59.127
611,2021-03-12,4.14,67.099
612,2021-03-11,4.139,88.271
613,2021-03-10,4.0325,73.351
614,2021-03-09,4.0085,103.652
615,2021-03-08,4.093,110.466
616,2021-03-05,4.0755,127.782
617,2021-03-04,3.9785,170.152
618,2021-03-03,4.142,104.638
619,2021-03-02,4.222,123.42
620,2021-03-01,4.113,105.509
621,2021-02-26,4.0925,173.044
622,2021-02-25,4.2635,165.302
623,2021-02-24,4.304,122.102
624,2021-02-23,4.1875,78.912
625,2021-02-22,4.149,72.151
626,2021-02-19,4.0775,68.398
627,2021-02-18,3.907,47.552
628,2021-02-17,3.8255,33.404
629,2021-02-16,3.834,99.558
630,2021-02-12,3.788,64.118
631,2021-02-11,3.7715,64.897
632,2021-02-10,3.7725,99.71
633,2021-02-09,3.72,93.999
634,2021-02-08,3.666,77.784
635,2021-02-05,3.626,80.755
636,2021-02-04,3.553,64.966
637,2021-02-03,3.5655,69.116
638,2021-02-02,3.5245,83.803
639,2021-02-01,3.546,75.847
640,2021-01-29,3.556,91.118
641,2021-01-28,3.578,114.176
642,2021-01-27,3.5575,102.973
643,2021-01-26,3.6195,59.034
644,2021-01-25,3.6295,62.534
645,2021-01-22,3.626,80.927
646,2021-01-21,3.6475,53.088
647,2021-01-20,3.6415,51.198
648,2021-01-19,3.6335,107.614
649,2021-01-15,3.602,71.481
650,2021-01-14,3.6645,67.901
651,2021-01-13,3.617,61.336
652,2021-01-12,3.6055,73.198
653,2021-01-11,3.5645,88.959
654,2021-01-08,3.6735,99.448
655,2021-01-07,3.696,62.907
656,2021-01-06,3.6505,91.231
657,2021-01-05,3.6395,64.779
658,2021-01-04,3.5545,76.849
659,2020-12-31,3.519,41.781
660,2020-12-30,3.549,38.3
661,2020-12-29,3.5555,47.036
662,2020-12-28,3.571,34.304
663,2020-12-24,3.5625,30.81
664,2020-12-23,3.556,62.499
665,2020-12-22,3.52,62.681
666,2020-12-21,3.5775,77.468
667,2020-12-18,3.6325,68.527
668,2020-12-17,3.6015,54.092
669,2020-12-16,3.559,49.572
670,2020-12-15,3.5445,50.682
671,2020-12-14,3.5265,58.429
672,2020-12-11,3.528,90.671
673,2020-12-10,3.576,84.271
674,2020-12-09,3.5135,60.133
675,2020-12-08,3.499,64.49
676,2020-12-07,3.5165,62.377
677,2020-12-04,3.5245,58.352
678,2020-12-03,3.4905,75.628
679,2020-12-02,3.489,82.317
680,2020-12-01,3.485,82.158
681,2020-11-30,3.438,98.558
682,2020-11-27,3.4175,90.541
683,2020-11-25,3.3305,41.465
684,2020-11-24,3.32,47.659
685,2020-11-23,3.278,36.541
686,2020-11-20,3.31,31.796
687,2020-11-19,3.22,25.275
688,2020-11-18,3.2125,29.302
689,2020-11-17,3.2095,24.15
690,2020-11-16,3.2295,27.349
691,2020-11-13,3.178,60.345
692,2020-11-12,3.145,64.786
693,2020-11-11,3.134,66.28
694,2020-11-10,3.1555,87.464
695,2020-11-09,3.156,100.894
696,2020-11-06,3.154,71.188
697,2020-11-05,3.11,69.58
698,2020-11-04,3.107,103.049
699,2020-11-03,3.0925,59.742
700,2020-11-02,3.077,72.432
701,2020-10-30,3.0475,69.335
702,2020-10-29,3.0565,63.378
703,2020-10-28,3.064,88.773
704,2020-10-27,3.0935,55.541
705,2020-10-26,3.0895,73.918
706,2020-10-23,3.129,49.687
707,2020-10-22,3.1535,73.504
708,2020-10-21,3.1985,79.395
709,2020-10-20,3.148,78.254
