index,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2013-01-03,2108.5,2111.0,5212.5
2013-01-04,2056.0,2099.1666666667,5217.25
2013-01-05,2039.0,2087.3333333333,5216.0083333333
2013-01-06,2022.0,2075.5,5214.7666666667
2013-01-07,2005.0,2071.0,5213.525
2013-01-08,2027.0,2021.0,5206.675
2013-01-09,2061.5,2020.0,5196.65
2013-01-10,2074.5,1997.5,5191.9
2013-01-11,2077.0,1989.8333333333,5180.475
2013-01-12,2072.1666666667,1982.1666666667,5181.525
2013-01-13,2067.3333333333,1974.5,5182.575
2013-01-14,2062.5,1962.0,5183.625
2013-01-15,2002.5,1962.0,5187.85
2013-01-16,1991.0,1999.0,5184.575
2013-01-17,2003.5,2001.5,5173.95
2013-01-18,2021.5,1988.6666666667,5188.75
2013-01-19,2014.6666666667,1975.8333333333,5184.9916666667
2013-01-20,2007.8333333333,1963.0,5181.2333333333
2013-01-21,2001.0,1942.0,5177.475
2013-01-22,2009.0,1933.0,5171.4
2013-01-23,2047.5,1936.5,5167.6
2013-01-24,2027.0,1926.0,5164.15
2013-01-25,2042.5,1917.8333333333,5156.975
2013-01-26,2030.5,1909.6666666667,5158.375
2013-01-27,2018.5,1901.5,5159.775
2013-01-28,2006.5,1913.0,5161.175
2013-01-29,1998.0,1913.0,5170.3
2013-01-30,2046.5,1932.5,5164.05
2013-01-31,2073.5,1960.0,5156.975
2013-02-01,2056.0,1943.1666666667,5155.3
2013-02-02,2063.6666666667,1926.3333333333,5154.65
2013-02-03,2071.3333333333,1909.5,5154.0
2013-02-04,2079.0,1914.0,5153.35
2013-02-05,2075.0,1928.5,5158.2
2013-02-06,2059.5,1921.0,5147.75
2013-02-07,2066.0,1907.5,5138.775
2013-02-08,2066.5,1921.3333333333,5158.925
2013-02-09,2069.6666666667,1935.1666666667,5156.0
2013-02-10,2072.8333333333,1949.0,5153.075
2013-02-11,2076.0,1961.0,5150.15
2013-02-12,2059.5,1988.0,5142.45
2013-02-13,2087.5,1954.0,5147.225
2013-02-14,2115.0,1942.0,5147.8
2013-02-15,2123.0,1943.5,5145.15
2013-02-16,2110.6666666667,1945.0,5149.05
2013-02-17,2098.3333333333,1946.5,5152.95
2013-02-18,2086.0,1972.0,5156.85
2013-02-19,2075.5,1947.0,5157.45
2013-02-20,2065.5,1935.5,5151.95
2013-02-21,2047.0,1949.0,5158.025
2013-02-22,2024.5,1963.5,5164.2
2013-02-23,2017.6666666667,1978.0,5161.8333333333
2013-02-24,2010.8333333333,1992.5,5159.4666666667
2013-02-25,2004.0,2016.0,5157.1
2013-02-26,1971.0,1998.0,5155.775
2013-02-27,1972.0,2050.0,5161.1
2013-02-28,1960.0,2080.0,5162.05
2013-03-01,1914.5,2087.8333333333,5172.55
2013-03-02,1918.6666666667,2095.6666666667,5169.325
2013-03-03,1922.8333333333,2103.5,5166.1
2013-03-04,1927.0,2104.5,5162.875
2013-03-05,1943.0,2092.5,5162.7
2013-03-06,1928.0,2109.0,5187.925
2013-03-07,1910.5,2077.5,5197.45
2013-03-08,1927.0,2086.5,5188.9
2013-03-09,1916.5,2095.5,5189.2583333333
2013-03-10,1906.0,2104.5,5189.6166666667
2013-03-11,1895.5,2134.0,5189.975
2013-03-12,1939.0,2132.5,5182.425
2013-03-13,1945.5,2123.0,5180.975
2013-03-14,1938.0,2120.5,5172.95
2013-03-15,1944.0,2117.3333333333,5173.075
2013-03-16,1927.8333333333,2114.1666666667,5176.1083333333
2013-03-17,1911.6666666667,2111.0,5179.1416666667
2013-03-18,1895.5,2099.0,5182.175
2013-03-19,1902.5,2105.0,5223.325
2013-03-20,1905.5,2070.0,5217.425
2013-03-21,1902.0,2073.0,5229.825
2013-03-22,1906.0,2079.3333333333,5230.025
2013-03-23,1903.5,2085.6666666667,5227.5166666667
2013-03-24,1901.0,2092.0,5225.0083333333
2013-03-25,1898.5,2088.6666666667,5222.5
2013-03-26,1890.5,2085.3333333333,5239.15
2013-03-27,1867.5,2082.0,5230.65
2013-03-28,1881.5,2066.0,5237.4
2013-03-29,1877.6,2067.8333333333,5235.605
2013-03-30,1873.7,2069.6666666667,5233.81
2013-03-31,1869.8,2071.5,5232.015
2013-04-01,1865.9,2099.75,5230.22
2013-04-02,1862.0,2128.0,5228.425
2013-04-03,1845.5,2145.5,5212.075
2013-04-04,1833.5,2089.0,5206.8
2013-04-05,1845.0,2073.0,5212.8
2013-04-06,1851.8333333333,2057.0,5212.8583333333
2013-04-07,1858.6666666667,2041.0,5212.9166666667
2013-04-08,1865.5,2062.0,5212.975
2013-04-09,1858.5,2094.5,5203.15
2013-04-10,1878.0,2109.0,5202.9
2013-04-11,1855.5,2117.0,5192.1
2013-04-12,1841.0,2112.3333333333,5194.75
2013-04-13,1828.6666666667,2107.6666666667,5193.9416666667
2013-04-14,1816.3333333333,2103.0,5193.1333333333
2013-04-15,1804.0,2041.0,5192.325
2013-04-16,1861.0,2033.0,5199.0
